Round Number,Date,Location,Home Team,Away Team,Result
1,22/10/19 20:00,Scotiabank Arena,Toronto Raptors,New Orleans Pelicans,130 - 122
1,22/10/19 22:30,Staples Center,LA Clippers,Los Angeles Lakers,112 - 102
1,23/10/19 19:00,Spectrum Center,Charlotte Hornets,Chicago Bulls,126 - 125
1,23/10/19 19:00,Bankers Life Fieldhouse,Indiana Pacers,Detroit Pistons,110 - 119
1,23/10/19 19:00,Amway Center,Orlando Magic,Cleveland Cavaliers,94 - 85
1,23/10/19 19:30,Barclays Center,Brooklyn Nets,Minnesota Timberwolves,126 - 127
1,23/10/19 19:30,AmericanAirlines Arena,Miami Heat,Memphis Grizzlies,120 - 101
1,23/10/19 19:30,Wells Fargo Center,Philadelphia 76ers,Boston Celtics,107 - 93
1,23/10/19 20:30,American Airlines Center,Dallas Mavericks,Washington Wizards,108 - 100
1,23/10/19 20:30,AT&T Center,San Antonio Spurs,New York Knicks,120 - 111
1,23/10/19 21:00,Vivint Smart Home Arena,Utah Jazz,Oklahoma City Thunder,100 - 95
1,23/10/19 22:00,Talking Stick Resort Arena,Phoenix Suns,Sacramento Kings,124 - 95
1,23/10/19 22:00,Moda Center,Portland Trail Blazers,Denver Nuggets,100 - 108
1,24/10/19 19:00,Little Caesars Arena,Detroit Pistons,Atlanta Hawks,100 - 117
1,24/10/19 20:00,Toyota Center,Houston Rockets,Milwaukee Bucks,111 - 117
1,24/10/19 22:30,Chase Center,Golden State Warriors,LA Clippers,122 - 141
1,25/10/19 19:00,TD Garden,Boston Celtics,Toronto Raptors,112 - 106
1,25/10/19 19:00,Spectrum Center,Charlotte Hornets,Minnesota Timberwolves,99 - 121
1,25/10/19 19:30,Barclays Center,Brooklyn Nets,New York Knicks,113 - 109
1,25/10/19 20:00,FedExForum,Memphis Grizzlies,Chicago Bulls,102 - 110
1,25/10/19 20:00,Smoothie King Center,New Orleans Pelicans,Dallas Mavericks,116 - 123
1,25/10/19 20:00,Chesapeake Energy Arena,Oklahoma City Thunder,Washington Wizards,85 - 97
1,25/10/19 21:00,Pepsi Center,Denver Nuggets,Phoenix Suns,108 - 107
1,25/10/19 22:00,Golden 1 Center,Sacramento Kings,Portland Trail Blazers,81 - 113
1,25/10/19 22:30,Staples Center,Los Angeles Lakers,Utah Jazz,95 - 86
1,26/10/19 17:00,Fiserv Forum,Milwaukee Bucks,Miami Heat,126 - 131
1,26/10/19 19:00,Little Caesars Arena,Detroit Pistons,Philadelphia 76ers,111 - 117
1,26/10/19 19:30,State Farm Arena,Atlanta Hawks,Orlando Magic,103 - 99
1,26/10/19 19:30,Madison Square Garden,New York Knicks,Boston Celtics,95 - 118
1,26/10/19 20:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Indiana Pacers,110 - 99
1,26/10/19 20:00,United Center,Chicago Bulls,Toronto Raptors,84 - 108
1,26/10/19 20:00,Toyota Center,Houston Rockets,New Orleans Pelicans,126 - 123
1,26/10/19 20:30,AT&T Center,San Antonio Spurs,Washington Wizards,124 - 122
1,26/10/19 21:00,Vivint Smart Home Arena,Utah Jazz,Sacramento Kings,113 - 81
1,26/10/19 22:00,Talking Stick Resort Arena,Phoenix Suns,LA Clippers,130 - 122
1,27/10/19 15:30,Chesapeake Energy Arena,Oklahoma City Thunder,Golden State Warriors,120 - 92
1,27/10/19 18:00,FedExForum,Memphis Grizzlies,Brooklyn Nets,134 - 133
1,27/10/19 19:00,American Airlines Center,Dallas Mavericks,Portland Trail Blazers,119 - 121
1,27/10/19 19:00,Target Center,Minnesota Timberwolves,Miami Heat,116 - 109
1,27/10/19 21:30,Staples Center,Los Angeles Lakers,Charlotte Hornets,120 - 101
1,28/10/19 19:00,Little Caesars Arena,Detroit Pistons,Indiana Pacers,96 - 94
1,28/10/19 19:00,Madison Square Garden,New York Knicks,Chicago Bulls,105 - 98
1,28/10/19 19:30,State Farm Arena,Atlanta Hawks,Philadelphia 76ers,103 - 105
1,28/10/19 19:30,Scotiabank Arena,Toronto Raptors,Orlando Magic,104 - 95
1,28/10/19 20:00,Toyota Center,Houston Rockets,Oklahoma City Thunder,116 - 112
1,28/10/19 20:00,Fiserv Forum,Milwaukee Bucks,Cleveland Cavaliers,129 - 112
1,28/10/19 20:00,Smoothie King Center,New Orleans Pelicans,Golden State Warriors,123 - 134
1,28/10/19 20:30,AT&T Center,San Antonio Spurs,Portland Trail Blazers,113 - 110
1,28/10/19 22:00,Talking Stick Resort Arena,Phoenix Suns,Utah Jazz,95 - 96
1,28/10/19 22:00,Golden 1 Center,Sacramento Kings,Denver Nuggets,94 - 101
1,28/10/19 22:30,Staples Center,LA Clippers,Charlotte Hornets,111 - 96
1,29/10/19 19:30,AmericanAirlines Arena,Miami Heat,Atlanta Hawks,112 - 97
1,29/10/19 21:00,Pepsi Center,Denver Nuggets,Dallas Mavericks,106 - 109
1,29/10/19 22:30,Staples Center,Los Angeles Lakers,Memphis Grizzlies,120 - 91
1,30/10/19 19:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Chicago Bulls,117 - 111
1,30/10/19 19:00,Amway Center,Orlando Magic,New York Knicks,95 - 83
1,30/10/19 19:00,Wells Fargo Center,Philadelphia 76ers,Minnesota Timberwolves,117 - 95
1,30/10/19 19:30,TD Garden,Boston Celtics,Milwaukee Bucks,116 - 105
1,30/10/19 19:30,Barclays Center,Brooklyn Nets,Indiana Pacers,108 - 118
1,30/10/19 19:30,Scotiabank Arena,Toronto Raptors,Detroit Pistons,125 - 113
1,30/10/19 20:00,Capital One Arena,Washington Wizards,Houston Rockets,158 - 159
1,30/10/19 20:00,Chesapeake Energy Arena,Oklahoma City Thunder,Portland Trail Blazers,99 - 102
1,30/10/19 22:00,Vivint Smart Home Arena,Utah Jazz,LA Clippers,110 - 96
1,30/10/19 22:00,Golden 1 Center,Sacramento Kings,Charlotte Hornets,111 - 118
1,30/10/19 22:30,Chase Center,Golden State Warriors,Phoenix Suns,110 - 121
1,31/10/19 19:00,State Farm Arena,Atlanta Hawks,Miami Heat,97 - 106
2,31/10/19 21:30,Smoothie King Center,New Orleans Pelicans,Denver Nuggets,122 - 107
2,31/10/19 22:30,Staples Center,LA Clippers,San Antonio Spurs,103 - 97
2,1/11/19 19:00,Barclays Center,Brooklyn Nets,Houston Rockets,123 - 116
2,1/11/19 19:00,Bankers Life Fieldhouse,Indiana Pacers,Cleveland Cavaliers,102 - 95
2,1/11/19 19:00,Amway Center,Orlando Magic,Milwaukee Bucks,91 - 123
2,1/11/19 19:30,TD Garden,Boston Celtics,New York Knicks,104 - 102
2,1/11/19 20:00,United Center,Chicago Bulls,Detroit Pistons,112 - 106
2,1/11/19 21:30,American Airlines Center,Dallas Mavericks,Los Angeles Lakers,110 - 119
2,1/11/19 22:00,Golden 1 Center,Sacramento Kings,Utah Jazz,102 - 101
2,1/11/19 22:30,Chase Center,Golden State Warriors,San Antonio Spurs,110 - 127
2,2/11/19 17:00,Chesapeake Energy Arena,Oklahoma City Thunder,New Orleans Pelicans,115 - 104
2,2/11/19 19:00,Little Caesars Arena,Detroit Pistons,Brooklyn Nets,113 - 109
2,2/11/19 19:00,Amway Center,Orlando Magic,Denver Nuggets,87 - 91
2,2/11/19 20:00,Capital One Arena,Washington Wizards,Minnesota Timberwolves,109 - 131
2,2/11/19 20:00,FedExForum,Memphis Grizzlies,Phoenix Suns,105 - 114
2,2/11/19 20:00,Fiserv Forum,Milwaukee Bucks,Toronto Raptors,115 - 105
2,2/11/19 20:30,Chase Center,Golden State Warriors,Charlotte Hornets,87 - 93
2,2/11/19 22:00,Moda Center,Portland Trail Blazers,Philadelphia 76ers,128 - 129
2,3/11/19 17:00,Bankers Life Fieldhouse,Indiana Pacers,Chicago Bulls,108 - 95
2,3/11/19 18:00,AmericanAirlines Arena,Miami Heat,Houston Rockets,129 - 100
2,3/11/19 18:00,Madison Square Garden,New York Knicks,Sacramento Kings,92 - 113
2,3/11/19 19:00,AT&T Center,San Antonio Spurs,Los Angeles Lakers,96 - 103
2,3/11/19 19:30,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Dallas Mavericks,111 - 131
2,3/11/19 21:00,Staples Center,LA Clippers,Utah Jazz,105 - 94
2,4/11/19 19:00,Capital One Arena,Washington Wizards,Detroit Pistons,
2,4/11/19 19:30,Barclays Center,Brooklyn Nets,New Orleans Pelicans,
2,4/11/19 20:00,FedExForum,Memphis Grizzlies,Houston Rockets,
2,4/11/19 20:00,Target Center,Minnesota Timberwolves,Milwaukee Bucks,
2,4/11/19 21:00,Talking Stick Resort Arena,Phoenix Suns,Philadelphia 76ers,
2,4/11/19 22:30,Chase Center,Golden State Warriors,Portland Trail Blazers,
2,5/11/19 19:00,Spectrum Center,Charlotte Hornets,Indiana Pacers,
2,5/11/19 19:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Boston Celtics,
2,5/11/19 19:30,State Farm Arena,Atlanta Hawks,San Antonio Spurs,
2,5/11/19 20:00,United Center,Chicago Bulls,Los Angeles Lakers,
2,5/11/19 20:00,Chesapeake Energy Arena,Oklahoma City Thunder,Orlando Magic,
2,5/11/19 21:00,Pepsi Center,Denver Nuggets,Miami Heat,
2,6/11/19 19:00,Little Caesars Arena,Detroit Pistons,New York Knicks,
2,6/11/19 19:00,Bankers Life Fieldhouse,Indiana Pacers,Washington Wizards,
2,6/11/19 19:30,State Farm Arena,Atlanta Hawks,Chicago Bulls,
2,6/11/19 19:30,Scotiabank Arena,Toronto Raptors,Sacramento Kings,
2,6/11/19 19:30,Toyota Center,Houston Rockets,Golden State Warriors,
2,6/11/19 20:00,FedExForum,Memphis Grizzlies,Minnesota Timberwolves,
2,6/11/19 20:30,American Airlines Center,Dallas Mavericks,Orlando Magic,
2,6/11/19 21:00,Vivint Smart Home Arena,Utah Jazz,Philadelphia 76ers,
2,6/11/19 22:00,Staples Center,LA Clippers,Milwaukee Bucks,
3,7/11/19 20:00,Spectrum Center,Charlotte Hornets,Boston Celtics,
3,7/11/19 20:30,AT&T Center,San Antonio Spurs,Oklahoma City Thunder,
3,7/11/19 21:00,Talking Stick Resort Arena,Phoenix Suns,Miami Heat,
3,7/11/19 22:30,Staples Center,LA Clippers,Portland Trail Blazers,
3,8/11/19 19:00,Bankers Life Fieldhouse,Indiana Pacers,Detroit Pistons,
3,8/11/19 19:00,Amway Center,Orlando Magic,Memphis Grizzlies,
3,8/11/19 19:00,Capital One Arena,Washington Wizards,Cleveland Cavaliers,
3,8/11/19 19:30,State Farm Arena,Atlanta Hawks,Sacramento Kings,
3,8/11/19 20:00,Target Center,Minnesota Timberwolves,Golden State Warriors,
3,8/11/19 20:00,Smoothie King Center,New Orleans Pelicans,Toronto Raptors,
3,8/11/19 20:30,American Airlines Center,Dallas Mavericks,New York Knicks,
3,8/11/19 21:00,Pepsi Center,Denver Nuggets,Philadelphia 76ers,
3,8/11/19 21:00,Vivint Smart Home Arena,Utah Jazz,Milwaukee Bucks,
3,8/11/19 22:00,Moda Center,Portland Trail Blazers,Brooklyn Nets,
3,8/11/19 22:30,Staples Center,Los Angeles Lakers,Miami Heat,
3,9/11/19 17:00,AT&T Center,San Antonio Spurs,Boston Celtics,
3,9/11/19 19:00,Spectrum Center,Charlotte Hornets,New Orleans Pelicans,
3,9/11/19 20:00,United Center,Chicago Bulls,Houston Rockets,
3,9/11/19 20:00,FedExForum,Memphis Grizzlies,Dallas Mavericks,
3,9/11/19 20:00,Chesapeake Energy Arena,Oklahoma City Thunder,Golden State Warriors,
3,10/11/19 15:30,Target Center,Minnesota Timberwolves,Denver Nuggets,
3,10/11/19 18:00,Amway Center,Orlando Magic,Indiana Pacers,
3,10/11/19 18:00,Wells Fargo Center,Philadelphia 76ers,Charlotte Hornets,
3,10/11/19 19:00,Chesapeake Energy Arena,Oklahoma City Thunder,Milwaukee Bucks,
3,10/11/19 19:30,Madison Square Garden,New York Knicks,Cleveland Cavaliers,
3,10/11/19 20:00,Talking Stick Resort Arena,Phoenix Suns,Brooklyn Nets,
3,10/11/19 21:00,Moda Center,Portland Trail Blazers,Atlanta Hawks,
3,10/11/19 21:30,Staples Center,Los Angeles Lakers,Toronto Raptors,
3,11/11/19 19:00,Little Caesars Arena,Detroit Pistons,Minnesota Timberwolves,
3,11/11/19 19:30,TD Garden,Boston Celtics,Dallas Mavericks,
3,11/11/19 19:30,AT&T Center,San Antonio Spurs,Memphis Grizzlies,
3,11/11/19 20:00,Smoothie King Center,New Orleans Pelicans,Houston Rockets,
3,11/11/19 22:30,Chase Center,Golden State Warriors,Utah Jazz,
3,11/11/19 22:30,Staples Center,LA Clippers,Toronto Raptors,
3,12/11/19 19:00,Bankers Life Fieldhouse,Indiana Pacers,Oklahoma City Thunder,
3,12/11/19 19:00,Wells Fargo Center,Philadelphia 76ers,Cleveland Cavaliers,
3,12/11/19 19:30,AmericanAirlines Arena,Miami Heat,Detroit Pistons,
3,12/11/19 20:00,United Center,Chicago Bulls,New York Knicks,
3,12/11/19 21:00,Pepsi Center,Denver Nuggets,Atlanta Hawks,
3,12/11/19 21:00,Talking Stick Resort Arena,Phoenix Suns,Los Angeles Lakers,
3,12/11/19 21:00,Vivint Smart Home Arena,Utah Jazz,Brooklyn Nets,
3,12/11/19 22:00,Golden 1 Center,Sacramento Kings,Portland Trail Blazers,
3,13/11/19 19:00,Spectrum Center,Charlotte Hornets,Memphis Grizzlies,
3,13/11/19 19:00,Amway Center,Orlando Magic,Philadelphia 76ers,
3,13/11/19 19:30,TD Garden,Boston Celtics,Washington Wizards,
3,13/11/19 19:30,Toyota Center,Houston Rockets,LA Clippers,
3,13/11/19 20:00,Target Center,Minnesota Timberwolves,San Antonio Spurs,
3,13/11/19 22:00,Staples Center,Los Angeles Lakers,Golden State Warriors,
3,13/11/19 22:00,Moda Center,Portland Trail Blazers,Toronto Raptors,
3,14/11/19 18:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Miami Heat,
4,14/11/19 20:00,Madison Square Garden,New York Knicks,Dallas Mavericks,
4,14/11/19 20:00,Fiserv Forum,Milwaukee Bucks,Chicago Bulls,
4,14/11/19 20:00,Smoothie King Center,New Orleans Pelicans,LA Clippers,
4,14/11/19 21:00,Talking Stick Resort Arena,Phoenix Suns,Atlanta Hawks,
4,14/11/19 22:30,Pepsi Center,Denver Nuggets,Brooklyn Nets,
4,15/11/19 19:00,Spectrum Center,Charlotte Hornets,Detroit Pistons,
4,15/11/19 19:00,Amway Center,Orlando Magic,San Antonio Spurs,
4,15/11/19 20:00,Toyota Center,Houston Rockets,Indiana Pacers,
4,15/11/19 20:00,FedExForum,Memphis Grizzlies,Utah Jazz,
4,15/11/19 20:00,Target Center,Minnesota Timberwolves,Washington Wizards,
4,15/11/19 20:00,Chesapeake Energy Arena,Oklahoma City Thunder,Philadelphia 76ers,
4,15/11/19 22:30,Chase Center,Golden State Warriors,Boston Celtics,
4,15/11/19 22:30,Staples Center,Los Angeles Lakers,Sacramento Kings,
4,16/11/19 18:00,United Center,Chicago Bulls,Brooklyn Nets,
4,16/11/19 19:00,Bankers Life Fieldhouse,Indiana Pacers,Milwaukee Bucks,
4,16/11/19 19:30,Madison Square Garden,New York Knicks,Charlotte Hornets,
4,16/11/19 20:00,AmericanAirlines Arena,Miami Heat,New Orleans Pelicans,
4,16/11/19 20:00,Target Center,Minnesota Timberwolves,Houston Rockets,
4,16/11/19 20:30,American Airlines Center,Dallas Mavericks,Toronto Raptors,
4,16/11/19 20:30,AT&T Center,San Antonio Spurs,Portland Trail Blazers,
4,16/11/19 22:30,Staples Center,LA Clippers,Atlanta Hawks,
4,17/11/19 15:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Philadelphia 76ers,
4,17/11/19 15:30,Golden 1 Center,Sacramento Kings,Boston Celtics,
4,17/11/19 18:00,Amway Center,Orlando Magic,Washington Wizards,
4,17/11/19 18:00,FedExForum,Memphis Grizzlies,Denver Nuggets,
4,17/11/19 19:00,Smoothie King Center,New Orleans Pelicans,Golden State Warriors,
4,17/11/19 21:30,Staples Center,Los Angeles Lakers,Atlanta Hawks,
4,18/11/19 19:00,Madison Square Garden,New York Knicks,Cleveland Cavaliers,
4,18/11/19 19:30,Barclays Center,Brooklyn Nets,Indiana Pacers,
4,18/11/19 19:30,Scotiabank Arena,Toronto Raptors,Charlotte Hornets,
4,18/11/19 20:00,United Center,Chicago Bulls,Milwaukee Bucks,
4,18/11/19 20:00,Toyota Center,Houston Rockets,Portland Trail Blazers,
4,18/11/19 20:30,American Airlines Center,Dallas Mavericks,San Antonio Spurs,
4,18/11/19 21:00,Talking Stick Resort Arena,Phoenix Suns,Boston Celtics,
4,18/11/19 21:00,Vivint Smart Home Arena,Utah Jazz,Minnesota Timberwolves,
4,18/11/19 22:30,Staples Center,LA Clippers,Oklahoma City Thunder,
4,19/11/19 20:00,FedExForum,Memphis Grizzlies,Golden State Warriors,
4,19/11/19 20:00,Smoothie King Center,New Orleans Pelicans,Portland Trail Blazers,
4,19/11/19 22:00,Golden 1 Center,Sacramento Kings,Phoenix Suns,
4,19/11/19 22:30,Staples Center,Los Angeles Lakers,Oklahoma City Thunder,
4,20/11/19 19:00,Wells Fargo Center,Philadelphia 76ers,New York Knicks,
4,20/11/19 19:00,Capital One Arena,Washington Wizards,San Antonio Spurs,
4,20/11/19 19:30,State Farm Arena,Atlanta Hawks,Milwaukee Bucks,
4,20/11/19 19:30,Barclays Center,Brooklyn Nets,Charlotte Hornets,
4,20/11/19 19:30,AmericanAirlines Arena,Miami Heat,Cleveland Cavaliers,
4,20/11/19 19:30,Scotiabank Arena,Toronto Raptors,Orlando Magic,
4,20/11/19 19:30,American Airlines Center,Dallas Mavericks,Golden State Warriors,
4,20/11/19 20:00,United Center,Chicago Bulls,Detroit Pistons,
4,20/11/19 20:00,Target Center,Minnesota Timberwolves,Utah Jazz,
4,20/11/19 21:00,Pepsi Center,Denver Nuggets,Houston Rockets,
4,20/11/19 22:00,Staples Center,LA Clippers,Boston Celtics,
5,21/11/19 20:00,Fiserv Forum,Milwaukee Bucks,Portland Trail Blazers,
5,21/11/19 22:30,Talking Stick Resort Arena,Phoenix Suns,New Orleans Pelicans,
5,22/11/19 19:00,Little Caesars Arena,Detroit Pistons,Atlanta Hawks,
5,22/11/19 19:00,Capital One Arena,Washington Wizards,Charlotte Hornets,
5,22/11/19 19:30,Barclays Center,Brooklyn Nets,Sacramento Kings,
5,22/11/19 20:00,Wells Fargo Center,Philadelphia 76ers,San Antonio Spurs,
5,22/11/19 20:00,United Center,Chicago Bulls,Miami Heat,
5,22/11/19 20:00,Chesapeake Energy Arena,Oklahoma City Thunder,Los Angeles Lakers,
5,22/11/19 20:30,American Airlines Center,Dallas Mavericks,Cleveland Cavaliers,
5,22/11/19 21:00,Pepsi Center,Denver Nuggets,Boston Celtics,
5,22/11/19 21:00,Vivint Smart Home Arena,Utah Jazz,Golden State Warriors,
5,22/11/19 22:30,Staples Center,LA Clippers,Houston Rockets,
5,23/11/19 17:00,Target Center,Minnesota Timberwolves,Phoenix Suns,
5,23/11/19 19:00,Spectrum Center,Charlotte Hornets,Chicago Bulls,
5,23/11/19 19:00,Bankers Life Fieldhouse,Indiana Pacers,Orlando Magic,
5,23/11/19 19:30,State Farm Arena,Atlanta Hawks,Toronto Raptors,
5,23/11/19 19:30,Madison Square Garden,New York Knicks,San Antonio Spurs,
5,23/11/19 19:30,Wells Fargo Center,Philadelphia 76ers,Miami Heat,
5,23/11/19 20:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Portland Trail Blazers,
5,23/11/19 20:00,FedExForum,Memphis Grizzlies,Los Angeles Lakers,
5,23/11/19 20:30,Fiserv Forum,Milwaukee Bucks,Detroit Pistons,
5,23/11/19 21:00,Vivint Smart Home Arena,Utah Jazz,New Orleans Pelicans,
5,24/11/19 15:30,Toyota Center,Houston Rockets,Dallas Mavericks,
5,24/11/19 18:00,Madison Square Garden,New York Knicks,Brooklyn Nets,
5,24/11/19 18:00,Capital One Arena,Washington Wizards,Sacramento Kings,
5,24/11/19 20:00,Pepsi Center,Denver Nuggets,Phoenix Suns,
5,24/11/19 21:00,Staples Center,LA Clippers,New Orleans Pelicans,
5,25/11/19 19:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Brooklyn Nets,
5,25/11/19 19:00,Little Caesars Arena,Detroit Pistons,Orlando Magic,
5,25/11/19 19:00,Bankers Life Fieldhouse,Indiana Pacers,Memphis Grizzlies,
5,25/11/19 19:30,State Farm Arena,Atlanta Hawks,Minnesota Timberwolves,
5,25/11/19 19:30,TD Garden,Boston Celtics,Sacramento Kings,
5,25/11/19 19:30,AmericanAirlines Arena,Miami Heat,Charlotte Hornets,
5,25/11/19 19:30,Scotiabank Arena,Toronto Raptors,Philadelphia 76ers,
5,25/11/19 20:00,United Center,Chicago Bulls,Portland Trail Blazers,
5,25/11/19 20:00,Fiserv Forum,Milwaukee Bucks,Utah Jazz,
5,25/11/19 20:30,AT&T Center,San Antonio Spurs,Los Angeles Lakers,
5,25/11/19 22:30,Chase Center,Golden State Warriors,Oklahoma City Thunder,
5,26/11/19 20:30,American Airlines Center,Dallas Mavericks,LA Clippers,
5,26/11/19 21:00,Pepsi Center,Denver Nuggets,Washington Wizards,
5,27/11/19 19:00,TD Garden,Boston Celtics,Brooklyn Nets,
5,27/11/19 19:00,Spectrum Center,Charlotte Hornets,Detroit Pistons,
5,27/11/19 19:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Orlando Magic,
5,27/11/19 19:00,Bankers Life Fieldhouse,Indiana Pacers,Utah Jazz,
5,27/11/19 19:00,Wells Fargo Center,Philadelphia 76ers,Sacramento Kings,
5,27/11/19 19:30,Scotiabank Arena,Toronto Raptors,New York Knicks,
5,27/11/19 20:00,Toyota Center,Houston Rockets,Miami Heat,
5,27/11/19 20:00,FedExForum,Memphis Grizzlies,LA Clippers,
5,27/11/19 20:00,Fiserv Forum,Milwaukee Bucks,Atlanta Hawks,
5,27/11/19 20:30,AT&T Center,San Antonio Spurs,Minnesota Timberwolves,
5,27/11/19 21:00,Talking Stick Resort Arena,Phoenix Suns,Washington Wizards,
5,27/11/19 21:30,Smoothie King Center,New Orleans Pelicans,Los Angeles Lakers,
5,27/11/19 22:00,Moda Center,Portland Trail Blazers,Oklahoma City Thunder,
5,27/11/19 22:30,Chase Center,Golden State Warriors,Chicago Bulls,
6,29/11/19 12:00,Barclays Center,Brooklyn Nets,Boston Celtics,
6,29/11/19 19:00,Little Caesars Arena,Detroit Pistons,Charlotte Hornets,
6,29/11/19 19:00,Amway Center,Orlando Magic,Toronto Raptors,
6,29/11/19 19:30,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Milwaukee Bucks,
6,29/11/19 19:30,Madison Square Garden,New York Knicks,Philadelphia 76ers,
6,29/11/19 20:00,Bankers Life Fieldhouse,Indiana Pacers,Atlanta Hawks,
6,29/11/19 20:00,AmericanAirlines Arena,Miami Heat,Golden State Warriors,
6,29/11/19 20:00,FedExForum,Memphis Grizzlies,Utah Jazz,
6,29/11/19 20:00,Chesapeake Energy Arena,Oklahoma City Thunder,New Orleans Pelicans,
6,29/11/19 20:30,AT&T Center,San Antonio Spurs,LA Clippers,
6,29/11/19 21:00,Talking Stick Resort Arena,Phoenix Suns,Dallas Mavericks,
6,29/11/19 22:00,Moda Center,Portland Trail Blazers,Chicago Bulls,
6,29/11/19 22:30,Staples Center,Los Angeles Lakers,Washington Wizards,
6,30/11/19 17:00,Golden 1 Center,Sacramento Kings,Denver Nuggets,
6,30/11/19 19:00,Wells Fargo Center,Philadelphia 76ers,Indiana Pacers,
6,30/11/19 20:00,Toyota Center,Houston Rockets,Atlanta Hawks,
6,30/11/19 20:00,Fiserv Forum,Milwaukee Bucks,Charlotte Hornets,
6,1/12/19 15:00,Barclays Center,Brooklyn Nets,Miami Heat,
6,1/12/19 15:30,Madison Square Garden,New York Knicks,Boston Celtics,
6,1/12/19 15:30,Target Center,Minnesota Timberwolves,Memphis Grizzlies,
6,1/12/19 16:00,Staples Center,Los Angeles Lakers,Dallas Mavericks,
6,1/12/19 17:00,Little Caesars Arena,Detroit Pistons,San Antonio Spurs,
6,1/12/19 17:00,Smoothie King Center,New Orleans Pelicans,Oklahoma City Thunder,
6,1/12/19 18:00,Amway Center,Orlando Magic,Golden State Warriors,
6,1/12/19 18:00,Scotiabank Arena,Toronto Raptors,Utah Jazz,
6,1/12/19 22:30,Staples Center,LA Clippers,Washington Wizards,
6,2/12/19 19:00,Spectrum Center,Charlotte Hornets,Phoenix Suns,
6,2/12/19 19:00,Wells Fargo Center,Philadelphia 76ers,Utah Jazz,
6,2/12/19 19:30,State Farm Arena,Atlanta Hawks,Golden State Warriors,
6,2/12/19 20:00,FedExForum,Memphis Grizzlies,Indiana Pacers,
6,2/12/19 20:00,Fiserv Forum,Milwaukee Bucks,New York Knicks,
6,2/12/19 22:00,Golden 1 Center,Sacramento Kings,Chicago Bulls,
